body diag: graph_backend=kuzu seconds=21600 stamp=20260707_025552
cycle rate (steady window): 1.02 cycles/s  (45 -> 22139 cycles over 21590.8s)
host CPU: mean 83.9% max 95.0% (pre-WS baseline was 30-35%)
  t=12.2s cycles=45
  t=24.7s cycles=101
  t=35.9s cycles=158
  t=47.9s cycles=201
  t=59.6s cycles=255
  t=70.6s cycles=301
  t=83.5s cycles=357
  t=95.5s cycles=410
  t=107.4s cycles=467
  t=119.5s cycles=527
  t=130.9s cycles=577
  t=143s cycles=633
  t=155s cycles=690
  t=166.1s cycles=743
  t=178.4s cycles=789
  t=189.7s cycles=847
  t=200.8s cycles=901
  t=211.9s cycles=949
  t=223.9s cycles=1002
  t=235.5s cycles=1056
  t=247.3s cycles=1108
  t=259.1s cycles=1154
  t=271.9s cycles=1210
  t=283.3s cycles=1265
  t=295s cycles=1312
  t=306.6s cycles=1358
  t=318s cycles=1411
  t=329.8s cycles=1461
  t=341.5s cycles=1510
  t=352.7s cycles=1554
  t=364s cycles=1607
  t=376s cycles=1663
  t=387.2s cycles=1704
  t=399.9s cycles=1760
  t=412.2s cycles=1816
  t=423.2s cycles=1866
  t=434.3s cycles=1912
  t=446.8s cycles=1966
  t=459.9s cycles=2022
  t=472.5s cycles=2072
  t=485.1s cycles=2130
  t=497.1s cycles=2187
  t=510.3s cycles=2239
  t=522.4s cycles=2293
  t=534.9s cycles=2348
  t=546.4s cycles=2402
  t=558.1s cycles=2443
  t=570.2s cycles=2499
  t=581.7s cycles=2551
  t=592.8s cycles=2591
  t=605.3s cycles=2637
  t=618s cycles=2693
  t=629.4s cycles=2749
  t=641s cycles=2793
  t=652.4s cycles=2842
  t=663.4s cycles=2893
  t=675.1s cycles=2948
  t=686.7s cycles=2990
  t=698.9s cycles=3042
  t=710.8s cycles=3106
  t=723.5s cycles=3160
  t=736s cycles=3210
  t=747.4s cycles=3263
  t=758.8s cycles=3314
  t=771.5s cycles=3359
  t=784.1s cycles=3418
  t=795.8s cycles=3471
  t=807.7s cycles=3519
  t=819.8s cycles=3563
  t=831.3s cycles=3616
  t=843.8s cycles=3671
  t=854.9s cycles=3714
  t=866.8s cycles=3764
  t=878.9s cycles=3817
  t=890.5s cycles=3868
  t=902.2s cycles=3914
  t=914.2s cycles=3962
  t=925.7s cycles=4016
  t=938.8s cycles=4060
  t=951.3s cycles=4116
  t=964s cycles=4169
  t=975.6s cycles=4218
  t=988.2s cycles=4264
  t=1000.4s cycles=4317
  t=1013.2s cycles=4374
  t=1024.7s cycles=4420
  t=1036s cycles=4469
  t=1048.2s cycles=4523
  t=1061.5s cycles=4574
  t=1073.5s cycles=4620
  t=1085.8s cycles=4677
  t=1097.3s cycles=4729
  t=1109.6s cycles=4774
  t=1122.5s cycles=4825
  t=1135.4s cycles=4876
  t=1148.4s cycles=4925
  t=1161.8s cycles=4978
  t=1174.6s cycles=5029
  t=1186.2s cycles=5076
  t=1198.6s cycles=5123
  t=1211.3s cycles=5178
  t=1222.7s cycles=5232
  t=1234.1s cycles=5274
  t=1245.3s cycles=5323
  t=1258s cycles=5374
  t=1269.2s cycles=5424
  t=1281.8s cycles=5470
  t=1294.2s cycles=5526
  t=1306.3s cycles=5579
  t=1318.4s cycles=5629
  t=1330s cycles=5675
  t=1341.4s cycles=5726
  t=1353.2s cycles=5776
  t=1364.6s cycles=5815
  t=1376.4s cycles=5864
  t=1389.1s cycles=5916
  t=1400.7s cycles=5964
  t=1412.7s cycles=6004
  t=1425.7s cycles=6054
  t=1437.5s cycles=6103
  t=1449.4s cycles=6144
  t=1461.3s cycles=6195
  t=1473.3s cycles=6239
  t=1486.4s cycles=6292
  t=1498.2s cycles=6344
  t=1509.6s cycles=6393
  t=1521.5s cycles=6440
  t=1533.8s cycles=6482
  t=1545.3s cycles=6533
  t=1558s cycles=6584
  t=1569.5s cycles=6631
  t=1580.8s cycles=6674
  t=1592.4s cycles=6723
  t=1604s cycles=6776
  t=1617.2s cycles=6821
  t=1629.1s cycles=6874
  t=1640.7s cycles=6922
  t=1652.2s cycles=6969
  t=1663.5s cycles=7012
  t=1675.2s cycles=7062
  t=1686.6s cycles=7107
  t=1699.3s cycles=7144
  t=1711.9s cycles=7189
  t=1724.8s cycles=7235
  t=1737.9s cycles=7282
  t=1750.5s cycles=7326
  t=1761.5s cycles=7371
  t=1773.6s cycles=7420
  t=1785s cycles=7460
  t=1797.8s cycles=7504
  t=1809.8s cycles=7558
  t=1822.3s cycles=7606
  t=1835.3s cycles=7648
  t=1846.7s cycles=7698
  t=1858.4s cycles=7746
  t=1869.4s cycles=7787
  t=1882.4s cycles=7834
  t=1894.5s cycles=7885
  t=1906.1s cycles=7925
  t=1918.3s cycles=7967
  t=1929.7s cycles=8017
  t=1941.2s cycles=8066
  t=1952.6s cycles=8111
  t=1963.8s cycles=8153
  t=1976.7s cycles=8193
  t=1989.6s cycles=8240
  t=2000.8s cycles=8279
  t=2012.4s cycles=8323
  t=2025.4s cycles=8372
  t=2036.7s cycles=8417
  t=2049.8s cycles=8459
  t=2061.3s cycles=8511
  t=2074.1s cycles=8558
  t=2085.5s cycles=8602
  t=2097.9s cycles=8652
  t=2109.2s cycles=8701
  t=2121.8s cycles=8750
  t=2134.2s cycles=8795
  t=2147.1s cycles=8845
  t=2158.5s cycles=8893
  t=2170.7s cycles=8934
  t=2181.8s cycles=8975
  t=2193.2s cycles=9021
  t=2206.5s cycles=9071
  t=2219.2s cycles=9118
  t=2232.5s cycles=9162
  t=2245.6s cycles=9207
  t=2259.2s cycles=9246
  t=2270.7s cycles=9291
  t=2283.8s cycles=9335
  t=2297s cycles=9383
  t=2309.6s cycles=9433
  t=2322.6s cycles=9485
  t=2334.3s cycles=9533
  t=2345.6s cycles=9570
  t=2357s cycles=9618
  t=2368s cycles=9662
  t=2380.5s cycles=9706
  t=2393.4s cycles=9749
  t=2406.1s cycles=9799
  t=2418.4s cycles=9849
  t=2429.8s cycles=9886
  t=2442.7s cycles=9936
  t=2454.2s cycles=9987
  t=2465.9s cycles=10028
  t=2478.2s cycles=10071
  t=2490.2s cycles=10120
  t=2501.7s cycles=10164
  t=2515.1s cycles=10205
  t=2528.7s cycles=10245
  t=2541.2s cycles=10287
  t=2552.5s cycles=10328
  t=2565.4s cycles=10367
  t=2578.1s cycles=10415
  t=2590.3s cycles=10466
  t=2602s cycles=10503
  t=2614s cycles=10545
  t=2626.9s cycles=10600
  t=2638.5s cycles=10647
  t=2651.1s cycles=10692
  t=2664s cycles=10742
  t=2676.2s cycles=10795
  t=2688.3s cycles=10834
  t=2699.7s cycles=10885
  t=2711.1s cycles=10931
  t=2723.6s cycles=10975
  t=2736.3s cycles=11019
  t=2748.3s cycles=11067
  t=2759.4s cycles=11112
  t=2770.8s cycles=11150
  t=2782.3s cycles=11196
  t=2794.4s cycles=11242
  t=2809s cycles=11289
